task,configuration,rung,seed,n,mean_loss_diff,dm_statistic,p_value,rung_beats_ref,significant_at_0.05
nigeria,"original (untuned, 300 trees)",V3a,3,185,87.4658,6.5432,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,4,185,90.8975,6.6313,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,5,185,91.2664,6.5993,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,6,185,92.2206,6.8055,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,7,185,93.7328,6.5376,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,8,185,95.4862,6.7685,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,9,185,96.5944,6.6816,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,10,185,83.9093,6.3507,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,11,185,85.3979,6.4175,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,12,185,87.1796,6.4036,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,13,185,95.3053,6.6867,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,14,185,90.2333,6.5991,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,15,185,91.2219,6.6234,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,16,185,87.7598,6.5337,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,17,185,86.6539,6.6268,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,18,185,91.5097,6.6638,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,19,185,90.5928,6.5012,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3a,20,185,94.1819,6.4824,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3b,1,185,75.8291,6.3501,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3b,2,185,77.6076,6.3829,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3b,3,185,77.9842,6.3718,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3b,4,185,76.7516,6.0186,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3b,5,185,79.2388,6.4918,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3b,6,185,80.6152,6.4452,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3b,7,185,79.1533,6.261,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3b,8,185,78.8457,6.3272,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3b,9,185,82.5031,6.4613,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3b,10,185,78.9225,6.4357,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3b,11,185,77.6408,6.2318,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3b,12,185,79.4993,6.5535,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3b,13,185,77.9863,6.3833,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3b,14,185,77.3462,6.1682,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3b,15,185,77.4794,6.2568,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3b,16,185,76.6926,6.2807,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3b,17,185,77.0752,6.2433,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3b,18,185,78.5692,6.478,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3b,19,185,74.1213,5.8255,0.0,False,True
nigeria,"original (untuned, 300 trees)",V3b,20,185,78.0365,6.3763,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4a,1,185,83.448,6.5918,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4a,2,185,82.774,6.2569,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4a,3,185,83.6509,6.599,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4a,4,185,78.1582,6.3383,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4a,5,185,87.6069,6.9771,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4a,6,185,82.8892,6.6319,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4a,7,185,84.7892,6.7062,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4a,8,185,84.057,6.8529,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4a,9,185,82.9875,6.5079,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4a,10,185,86.767,7.0229,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4a,11,185,86.7224,6.9014,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4a,12,185,87.1894,6.8272,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4a,13,185,82.8031,6.4575,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4a,14,185,84.361,6.5,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4a,15,185,85.5521,6.5873,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4a,16,185,83.4128,6.5353,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4a,17,185,86.6192,6.6925,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4a,18,185,81.7538,6.2751,0.0,False,True
nigeria,"original (untuned, 300 trees)",V4a,19,185,82.9465,6.4657,0.0,False,True
