month_key,national_mean_price_ngn,n_states,window,mom_pct_change
20231101,648.9335540540541,37,train,
20231201,671.858208108108,37,train,3.5326658501225072
20240101,668.2965540540539,37,train,-0.5301198989714484
20240201,679.3644864864866,37,train,1.6561408801664346
20240301,696.7872297297297,37,train,2.564564911738243
20240401,701.2444297297297,37,train,0.6396787727767306
20240501,769.617027027027,37,train,9.750180450438538
20240601,750.1722756756758,37,train,-2.5265490066487817
20240701,770.5418864864864,37,train,2.7153243956481665
20240801,830.4550108108107,37,train,7.775453271919575
20240901,1030.4633891891892,37,train,24.084191891755992
20241001,1184.8254189189188,37,train,14.97986550023751
20241101,1214.1674567567568,37,train,2.476486186851967
20241201,1189.1212405405406,37,train,-2.0628304668219966
20250101,1258.344610810811,37,train,5.8213887625792715
20250201,1245.801137837838,37,train,-0.9968233554789596
20250301,1261.64577027027,37,train,1.2718428287785466
20250401,1239.3271135135135,37,train,-1.7690113407961894
20250501,1027.7573783783785,37,train,-17.07133918302902
20250601,1037.6594351351355,37,train,0.9634624829822025
20250701,1024.9930027027028,37,train,-1.2206733735122932
20250801,988.2533729729727,37,train,-3.5843785892054947
20250901,970.5879621621624,37,train,-1.7875386306719365
20251001,1052.311545945946,37,train,8.420007971428923
20251101,1061.350016216216,37,train,0.8589158130109853
20251201,1048.6271324324325,37,test,-1.1987453327735875
20260101,1034.7558513513513,37,test,-1.3228039454696194
20260201,1051.4722432432434,37,test,1.6154914098877704
20260301,1288.5420972972972,37,test,22.54646811434766
20260401,1532.9262162162158,37,test,18.965939834756785
20260501,1596.2458135135137,37,test,4.130635684057404
