month_key,actual_national_mean,pred_original_national_mean,pred_capacity_controlled_national_mean,pred_ref_heuristic_national_mean,n_states,train_target_min,train_target_max,test_target_min,test_target_max
20251201,1034.7558513513513,1069.071133864272,1035.680789171806,1048.6271324324325,37,602.55,1730.0,946.9009,1722.912
20260101,1051.4722432432432,1050.7058014566219,1034.7670548878468,1034.7558513513513,37,602.55,1730.0,946.9009,1722.912
20260201,1288.5420972972972,1065.6522564020863,1040.6770283362937,1051.4722432432432,37,602.55,1730.0,946.9009,1722.912
20260301,1532.9262162162163,1225.4095550415714,1153.1855966352675,1288.5420972972972,37,602.55,1730.0,946.9009,1722.912
20260401,1596.2458135135134,1433.167059735594,1274.3714543354806,1532.9262162162163,37,602.55,1730.0,946.9009,1722.912
