configuration,seed,n_estimators,last_split_threshold_price_ngn,plateau_level_above_last_threshold,plateau_start_price_grid_5ngn,max_prediction_on_grid,first_grid_price_attaining_max,grid_curve_monotone_nondecreasing,train_price_ngn_max,train_price_ngn_min,train_target_max,n_test_rows_price_above_plateau_start,n_test_rows_price_above_train_price_max,n_test_actuals_above_plateau_level,max_test_prediction_seed1,verified_against_saved_seed1_errors
"original (untuned, 300 trees)",1,300,1480.5556,1441.0748,1485,1441.3346,1445,False,1730.0,602.55,1730.0,30,0,70,1441.0748,True
capacity-controlled (CV-selected on V0),1,12,1613.416,1360.0794,1615,1360.0794,1615,False,1730.0,602.55,1730.0,0,0,79,1279.2806,True
