# SUPPORTED: for both configurations, the pooled predicted maximum across all 20 seeds sits BELOW the training target maximum itself (not just below the test target maximum) -- predictions never reach even the most extreme value seen in training, consistent with predictions being bounded by leaf MEANS (averages over the rows in each leaf), which are strictly narrower than the raw training target range that produced them, rather than by the training target range directly.
configuration,n_seeds,n_test_rows,pooled_pred_min,pooled_pred_max,train_target_min,train_target_max,test_target_min,test_target_max,pred_max_below_train_max_by,pred_max_below_test_max_by,n_test_actuals_above_pooled_pred_max,pct_test_actuals_above_pooled_pred_max,max_actual_missed_by,per_seed_pred_min_max
"original (untuned, 300 trees)",20,185,951.8109,1447.213,602.55,1730.0,946.9009,1722.912,282.787,275.699,69,37.2973,275.699,"seed1:[951.81,1441.07];seed2:[959.21,1442.36];seed3:[955.23,1438.96];seed4:[954.88,1444.11];seed5:[958.96,1441.76];seed6:[954.33,1437.12];seed7:[953.76,1437.06];seed8:[957.02,1446.24];seed9:[954.63,1441.84];seed10:[958.19,1433.24];seed11:[957.07,1440.85];seed12:[954.51,1438.53];seed13:[955.57,1436.79];seed14:[956.56,1439.94];seed15:[957.70,1441.34];seed16:[954.60,1444.34];seed17:[956.14,1434.76];seed18:[952.54,1443.04];seed19:[956.18,1437.38];seed20:[956.61,1447.21]"
capacity-controlled (CV-selected on V0),20,185,993.1403,1308.8712,602.55,1730.0,946.9009,1722.912,421.1288,414.0408,85,45.9459,414.0408,"seed1:[1003.57,1279.28];seed2:[996.07,1306.41];seed3:[996.16,1286.92];seed4:[996.83,1300.72];seed5:[997.67,1303.17];seed6:[995.30,1301.89];seed7:[999.10,1298.09];seed8:[993.14,1287.89];seed9:[997.94,1291.73];seed10:[1001.20,1289.36];seed11:[993.57,1301.89];seed12:[995.94,1295.27];seed13:[1003.14,1302.99];seed14:[995.52,1296.65];seed15:[997.29,1296.26];seed16:[996.75,1301.54];seed17:[997.49,1288.35];seed18:[996.67,1283.48];seed19:[1001.48,1308.87];seed20:[1002.03,1301.22]"
